"题目","朝代","作者","内容"
"鹧鸪天 其三","金","刘仲尹","楼宇沈沈翠几重。辘轳亭下落梧桐。川光带晚虹垂雨，树影涵秋鹊唤风。人不见，思何穷。断肠今古夕阳中。碧云犹作山头恨，一片西飞一片东。"
"鹧鸪天 其一","金","刘仲尹","满树西风锁建章。官黄未裹贡前霜。谁能载酒陪花使，终日寻香过苑墙。修月客，弄云娘。三吴清兴入淋浪。草堂人病风流减，自洗铜瓶煮蜜尝。"
"鹧鸪天 其二","金","刘仲尹","骑鹤峰前第一人。不应著意怨王孙。当年艳态题诗处，好在香痕与泪痕。调雁柱，引蛾颦。绿窗弦索合筝?。砌台歌舞阳春后，明月朱扉几断魂。"
"乌夜啼 其二","金","刘迎","离恨远萦杨柳，梦魂长绕梨花。青衫记得章台月，归路玉鞭斜。翠镜啼痕印袖，红墙醉墨笼纱。相逢不尽平生事，春思入琵琶。"
"乌夜啼 其一","金","刘迎","菱鉴玉篦秋月，蕙炉银叶朝云。宿酲人困屏山梦，烟树小江村。翠甲未消兰恨，粉香不断梅魂。离愁分付残春雨，花外泣黄昏。"
"锦堂春 西湖","金","刘迎","水漫汀洲新绿，云开崦嶂微青。残红不见成阴后，鶗鴂寂无声。笑傲坡公一梦，风流杜牧三生。西湖依旧人中意，来去竟难凭。"
"上平西 泰和南征作","金","刘昂","趸锋摇，螳臂振，旧盟寒。恃洞庭、彭蠡狂澜。天兵小试，百蹄一饮楚江干。捷书飞上九重天。春满长安。舜山川，周礼乐，唐日月，汉衣冠。洗五州、妖气关山。已平全蜀，风行何用一泥丸。有人传喜，日边路、都护先还。"
"行香子","金","许古","秋入鸣皋。爽气飘萧。挂衣冠、初脱尘劳。窗间岩岫，看尽昏朝。夜山低，晴山近，晓山高。细数閒来。几处村醪。醉模糊、信手挥毫。等閒陶写，问恁风骚。乐因循，能潦倒，也消摇。"
"眼儿媚","金","许古","浊醪篘得玉为浆。风韵带橙香。持杯笑道，鹅黄似酒，酒似鹅黄。世缘老矣不思量，沈醉又何妨。临风对月，山歌野调，尽我疏狂。"
"西江月 题邯郸王化吕仙翁祠堂","金","完颜从郁","壁断何人旧字，炉寒隔岁残香。洞天人去海茫茫。玩世仙翁已往。西日长安道远，春风赵国台荒。行人谁不悟黄粮。依旧红尘陌上。"
"西江月","金","密璹","一百八般佛事，二十四考中书。山林朝市等区区。著甚来由自苦。过寺谈些般若，逢花倒个葫芦。少时伶俐老来愚。万事安于所遇。"
"沁园春","金","密璹","壮岁耽书，黄卷青灯，留连寸阴。到中年赢得，清贫更甚，苍颜明镜，白发轻簪。衲被蒙头，草鞋著脚，风雨萧萧秋意深。凄凉否，瓶中匮粟，指下忘琴。一篇梁父高吟。看谷变、陵迁古又今。便离骚经了，灵光赋就，行歌白雪，愈少知音。试问先生，如何即是，布袖长垂不上襟。掀髯笑，一杯有味，万事无心。"
"青玉案","金","密璹","冻云封却驼冈路。有谁访、溪梅去。梦里疏香风暗度。觉来谁见，一窗凉月，瘦影无寻处。明朝画笔江天莫。定向渔蓑得奇句。试问帘前深几许。儿童笑道，黄昏时候，犹是廉纤雨。"
"临江仙","金","密璹","倦客更遭尘事冗，故寻閒地婆娑。一尊芳酒一声歌。卢郎心未老，潘令鬓先皤。醉向繁台台上问，满川细柳新荷。薰风楼阁夕阳多。倚阑凝思久，渔笛起烟波。"
"春草碧","金","密璹","几番风雨西城陌。不见海棠红、梨花白。底事胜赏匆匆，政自天付酒肠窄。更笑老东君、人间客。赖有玉管新翻，罗襟醉墨。望中倚阑人、如曾识。旧梦回首何堪，故苑春光又陈迹。落尽后庭花、春草碧。"
"秦楼月","金","密璹","寒仍暑。春来秋去无今古。无今古。梁台风月，汴堤烟雨。水涵天影秋如许。夕阳低处征帆举。征帆举。一行惊雁，数声柔橹。"
"渔父词二首 其一","金","密璹","杨柳风前白板扉，荷花雨里绿蓑衣。红稻美，锦鳞肥，渔笛閒拈月下吹。"
"渔父词二首 其二","金","密璹","钓得鱼来卧看书，船头稳置酒葫芦。烟际柳，雨中蒲，乞与人间作画图。"
"蓦山溪","金","张中孚","山河百二，自古关中好。壮岁喜功名，拥征鞍、雕裘绣帽。时移事改，萍梗落江湖，听楚语，厌蛮歌，往事知多少。苍颜白发，故里欣重到。老马省曾行，也频嘶、冷烟残照。终南山色，不改旧时青，长安道，一回来，须信一回老。"
"满江红","金","李节","纸帐温，春睡稳，窗槐摇绿。吾老矣，不堪重著，翠围红簇。千古清风荆布在，一家乐事糟糠足。笑杜陵、憔悴漫多情，须燕玉。求凰意，传新曲。骖鸾梦，从渠续。问临邛何贱，会稽何辱。畎亩岂无天下士，斧斤不到山中木。但莫教、风雨两雏鸠，危枝宿。"
"水龙吟","金","李纯甫","几番冷笑三闾，算来枉向江心堕。和光混俗，随机达变，有何不可。清浊从他，醉醒由己，分明识破。待用时即进，舍时便退，虽无福，亦无祸。你试回头觑我。怕不待峥嵘则个。功名半纸，风波千丈，图个甚么。云栈扬鞭，海涛摇棹，争如闲坐。但尊中有酒，心头无事，葫芦提过。"
"高丽平州中和馆后草亭","金","李晏","藤花满地香仍在，松影拂云寒不收。山鸟似嫌游客到，一声啼破小亭幽。"
"白云亭","金","李晏","白云亭上白云秋，桂棹兰桨记昔游。往事已随流水去，青山空对夕阳愁。兴亡翻手成舒卷，今古无心自去留。独倚西风一惆怅，数声柔橹下汀洲。"
"婆罗门引 保德西楼作","金","李晏","汗融畏日，岂知高处有风清。倚阑襟袖凉生。坐上看崩云脱坏，不碍乱峰青。待目穷千里，却怕伤情。河汾古城。听裂岸、怒涛惊。好是烽沉幽障，鼓卧边亭。西楼老子，更无用、胸中十万兵。酒到处、莫放杯停。"
"菩萨蛮 回文","金","李晏","断肠人去春将半。归客倦花飞。小窗寒梦晓，谁与画愁眉。"
"虞美人","金","李晏","佳人酒晕红生颊。滟滟霞千叠。雨馀红泪湿黄昏。误认当年人面、倚朱门。飘零又送青春莫。怅望刘郎去。教人不恨五更风。只恨马蹄无处、避残红。"
"鹧鸪天","金","李晏","苒苒萋萋雨后村。芳尘不到五侯门。曾随晓泪撩诗思，又向春风入烧痕。春去后，忆王孙。啼红南浦记芳温。夕阳楼外连天远，乞与骚人怨楚魂。"
"江城梅花引 为飞伯赋青梅","金","李献能","汉宫娇额倦涂黄。试新妆。立昭阳。萼绿仙姿，高髻碧罗裳。翠袖卷纱閒倚竹，暝云合，琼枝荐莫凉。壁月浮香摇玉浪。拂春帘，瑩绮窗。冰肌夜冷滑无粟，影转斜廊。冉冉孤鸿，烟水渺三湘。青鸟不来天也老，断魂梦，清霜静楚江。"
"春草碧","金","李献能","紫箫吹破黄州月。蔌蔌小梅花、飘香雪。寂莫花底风鬟，颜色如花命如叶。千里涴兵尘、凌波袜。心事鉴影鸾孤，筝弦雁绝。旧时雪堂人、今华发。断肠金缕新声，杯深不觉琉璃滑。醉梦绕南云、花上蝶。"
"浣溪沙 河中环胜楼感怀","金","李献能","垂柳阴阴水拍堤。欲穷远目望还迷。平芜尽处莫天低。万里中原犹北顾，十年长路却西归。倚楼怀抱有谁知。"
"菩萨蛮 回文","金","孟宗献","睡惊秋近鸣虫砌。苍鬓掺匀霜。影孤灯翳冷。长叹浩歌狂。"
"行香子 其三","金","赵元","山拥垣墙，水满溪塘。几人家、篱落斜阳。又还夏也，一霎人忙。正稻分畦，蚕卸簇，麦登场。老子徜徉，閒日偏长，鬓鬔松、只管寻凉。绿阴何处，旋旋移床。有道边槐，门外柳，舍南桑。"
"行香子 其二","金","赵元","潦倒无闻，坐惯家贫。眼昏花心口犹存。人皆笑我，我尽教人。拚醉吟风，閒钓月，困眠云。邂逅交亲，语欸情真，且相从莫浪辛勤。西山归隐，不用移文。看菊成丛，松结子，竹生孙。"
"行香子 其一","金","赵元","镜里流年，绿变华颠。谢西山、青眼依然。人生安用，利琐名缠。似燕营巢，蜂课蜜，蚁争膻。词苑群仙，场屋诸贤，看文章大笔如椽。閒人书册，且枕头眠。有洗心经，传灯录，坐忘篇。"
"卜算子 谱太白诗","金","赵可","明月在青天，借问今时几。但见宵从海上来，不觉云间坠。流水古今人，共看皆如此。唯愿当歌对酒时，长照金尊里。"
"凤栖梧","金","赵可","霜树重重青嶂小。高栋飞云，正在霜林杪。九日黄花才过了。一尊聊慰秋容老。翠色有无眉黛扫。身在西山，却爱东山好。流水极天横晚照。酒阑望断西河道。"
"好事近","金","赵可","密雪听窗知，午醉晚来初觉。人与胆瓶梅蕊，共此时萧索。倚窗閒看六花飞，风轻止还作。个里有诗谁会，满疏篱寒雀。"
"望云间 代州南楼","金","赵可","云朔南陲，全赵幕府，河山襟带名藩。有朱楼缥缈，千雉回旋。云度飞狐绝险，天围紫塞高寒。吊兴亡遗迹，咫尺西陵，烟树苍然。时移事改，极目伤心，不堪独倚危阑。惟是年年飞燕，霜雪知还。楼上四时长好，人生一世谁閒。故人有酒，一尊高兴，不减东山。"
"浣溪沙 其二","金","赵可","火冷薰炉香渐消。更阑拨火更重烧。愁心心字两俱焦。半世清狂无限事，一窗风月可怜宵。灯残花落梦无聊。"
"浣溪沙 其一","金","赵可","抬转炉薰自换香。锦衾收拾却遮藏。二年尘暗小鸳鸯。落木萧萧风似雨，疏林皎皎月如霜。此时此夜最凄凉。"
